"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","depth","device","double","head","head_activation","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","n_data","n_epochs","n_epochs_burnin","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","rep","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","width","epoch","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","params/layer1.bias","params/layer1.weight","params/out_layer.bias","params/out_layer.weight","prior_prec_opt","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll"
"wine-quality-red-marglik-0ebf","finished","-","","marglik, wine-quality-red","2024-11-10T05:19:29.000Z","61","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","3.5250344276428223","8.148385047912598","837.63525390625","0.4392949640750885","0.2753852537678014","0.11712212356746028","0.000803171214304466","2.1393676240365833","","-6.564715304508728","-1.084950053058625","-1.4399948965159235","-1.148800711435224","-2.0401358154013005","0.873407952360371","0.5691834973405395","0.00001","2.588545937821421","0.33681432802968264","0.47960718438493327",""
"wine-quality-red-map-625f","finished","-","","map, wine-quality-red","2024-11-10T05:10:39.000Z","523","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.0029366116793874703","0.002024215143465066","0.014574999272666651","0.01054087931272373","100","-1.0620991933148554","-1.0617839333304917","-1.0611432201868711","-1.059180299751363","-1.0605806197221717","0.7795839791277668","1.2236046664303906","0.00001","","1.1421803479457566","0.5982913928064789","1.222798547218835"
"wine-quality-red-marglik-26f5","finished","-","","marglik, wine-quality-red","2024-11-10T05:09:27.000Z","66","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","182.64874267578125","1303.590087890625","13336.7744140625","0.04927071928977966","0.0009632087295698407","0.00008624229309552974","6.276624186978729e-8","3.705943324958553","","-1.0464138219746466","-1.0446508023979126","-1.0977518995358784","-1.0428604448594505","-1.0446970345223874","0.7760944500421868","1.1613466088856677","0.00001","1.2385469370351283","1.1304599152840913","0.5881625702286488",""
"wine-quality-red-map-ad8b","finished","-","","map, wine-quality-red","2024-11-10T05:00:11.000Z","550","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.006322282493890966","0.0017445020436157735","0.1983131268796201","0.011083514114858426","100","-1.0654954750975298","-1.0662813997421303","-1.0669779578626548","-1.0655822220920084","-1.0659994251322888","0.8017668770135918","1.2813655596329636","0.00001","","1.1847507960337618","0.615967485803017","1.2165650685904934"
"wine-quality-red-marglik-5ae3","finished","-","","marglik, wine-quality-red","2024-11-10T04:59:04.000Z","61","","gelu","kron","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","2.304365873336792","5.625351905822754","44.3306999206543","0.3715059161186218","0.3419859597526473","0.13813796294651076","0.02162740383857136","2.2499191481329808","","-3.4580818385224212","-1.0610248788073218","-1.5101328963797014","-1.1029106720034292","-1.5272670823868042","0.8076307246864319","0.4720686645029965","0.00001","2.1503403917451913","0.2801658591124206","0.4804055391743772",""
"wine-quality-red-map-72b7","finished","-","","map, wine-quality-red","2024-11-10T04:50:14.000Z","525","","gelu","kron","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.0029366116793874703","0.002024215143465066","0.014574999272666651","0.01054087931272373","100","-1.0620991933148554","-1.0624757072390687","-1.0614020870607486","-1.0592696499058996","-1.0609973573581866","0.7795839791277668","1.2236046664303906","0.00001","","1.1421803479457566","0.5982913928064789","1.222798547218835"
"wine-quality-red-marglik-4df9","finished","-","","marglik, wine-quality-red","2024-11-10T04:49:04.000Z","65","","gelu","kron","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","12.02039623260498","9.985405921936035","10709.7998046875","0.1287538856267929","0.06479131846992175","0.07436699174060594","2.022104890149491e-9","6.421492024184434","","-1.2289016714211876","-1.1447848513063608","-1.6340470797293123","-1.149030507722443","-1.1294974017140729","0.7852533832526152","0.928416181351045","0.00001","1.6852027501932716","0.744246039041931","0.29764970562381227",""
"wine-quality-red-map-80af","finished","-","","map, wine-quality-red","2024-11-10T04:39:55.000Z","544","","gelu","kron","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.006322282493890966","0.0017445020436157735","0.1983131268796201","0.011083514114858426","100","-1.0654954750975298","-1.0661218392876328","-1.0666325171679716","-1.0651971345874125","-1.0658590442914726","0.8017668770135918","1.2813655596329636","0.00001","","1.1847507960337618","0.615967485803017","1.2165650685904934"
"wine-quality-red-marglik-6f37","finished","-","","marglik, wine-quality-red","2024-11-10T04:38:34.000Z","74","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","1.7959004640579224","4.115324974060059","3.5802297592163086","0.3183991611003876","0.4340561202173828","0.1827608330934916","0.1701548936299399","2.3958380484526565","","-31.822640790507045","-1.095455134057028","-1.802351738091862","-1.1220503176550822","-1.2116268883659882","0.9020412564775718","0.3617573307739861","0.00001","1.488031307351783","0.17755197522186636","0.4865282420074789",""
"wine-quality-red-map-3d34","finished","-","","map, wine-quality-red","2024-11-10T04:29:44.000Z","525","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.0029366116793874703","0.002024215143465066","0.014574999272666651","0.01054087931272373","100","-1.0620991933148554","-1.0620945410445617","-1.0616499281917473","-1.059961196162106","-1.0612699887134602","0.7795839791277668","1.2236046664303906","0.00001","","1.1421803479457566","0.5982913928064789","1.222798547218835"
"wine-quality-red-marglik-470c","finished","-","","marglik, wine-quality-red","2024-11-10T04:28:23.000Z","76","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","3.725169897079468","4.0388569831848145","2.635221242904663","0.10699813812971117","0.2071428177059942","0.1844427568193915","0.030350491931312132","7.174292852169467","","-1.2289016714211876","-1.135854606331694","-1.7034521786652408","-1.141311800973196","-1.1280920221831248","0.7852533832526152","0.7561756421918414","0.00001","1.4750110399676648","0.5736803325067683","0.2139484130904903",""
"wine-quality-red-map-c13a","finished","-","","map, wine-quality-red","2024-11-10T04:19:10.000Z","548","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","1439","5000","5001","100","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","","","","","0.006322282493890966","0.0017445020436157735","0.1983131268796201","0.011083514114858426","100","-1.0654954750975298","-1.0661682059417743","-1.066690611384158","-1.0655931956425768","-1.065900036924208","0.8017668770135918","1.2813655596329636","0.00001","","1.1847507960337618","0.615967485803017","1.2165650685904934"
"wine-quality-red-marglik-45ab","failed","-","","marglik, wine-quality-red","2024-11-10T04:19:01.000Z","5","","gelu","kernel","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","50","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","149","","","","","0.21052058353738923","0.13697193718752854","0.013233352199525183","0.22437349529742823","","","","","","","","0.9028984649023376","0.00997812638591106","","0.865515260388933","0.5031174228415515",""
"wine-quality-red-map-e31c","failed","-","","map, wine-quality-red","2024-11-10T04:18:00.000Z","56","","gelu","kernel","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","","5000","5001","50","","","Adam","1","0","11","Flipout","true","0","-3","0","50","","","","","","","","","","","","","","","","","","","","","",""
"wine-quality-red-marglik-602e","failed","-","","marglik, wine-quality-red","2024-11-10T04:17:52.000Z","4","","gelu","kernel","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","50","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","149","","","","","0.2361904338066293","0.17638646573964423","0.04100883908473264","0.3493952342302719","","","","","","","","0.9257878778207828","0.00997812638591106","","0.8762364870747635","0.3715540094333831",""
"wine-quality-red-map-9bc1","failed","-","","map, wine-quality-red","2024-11-10T04:16:47.000Z","59","","gelu","kernel","256","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","map","","5000","5001","50","","","Adam","1","0","11","Flipout","true","0","-3","0","50","","","","","","","","","","","","","","","","","","","","","",""
"wine-quality-red-marglik-ce35","finished","-","","marglik, wine-quality-red","2024-11-10T04:15:41.000Z","59","","gelu","diag","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.01","0.01","0.001","0.00001","true","150","marglik","1439","5000","100","50","4","702","Adam","1","0","11","Flipout","true","0","-3","0","50","5000","3.3342437744140625","5.380656719207764","5.667396068572998","0.43500375747680664","0.27185992940223447","0.16715585767398175","0.17168359564031674","2.2135565890360005","","-13.782716566360136","-1.0299744612134618","-1.4314256667461165","-1.0935401388793788","-1.6543133067664253","0.8018232318926801","0.4347220398005332","0.00001","2.6762979039657915","0.21295966157691024","0.4566658614328116",""
