"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","approx","batch_size","beta","data_root","dataset","depth","device","double","head","head_activation","likelihood","lr","lr_hyp","lr_hyp_min","lr_min","marglik_early_stopping","marglik_frequency","method","n_data","n_epochs","n_epochs_burnin","n_hypersteps","n_param_groups","n_params","optimizer","prior_prec_init","rep","seed","typeofrep","use_wandb","vi_posterior_mu_init","vi_posterior_rho_init","vi_prior_mu","width","epoch","hyperparams/prior_prec_layer1.bias","hyperparams/prior_prec_layer1.weight","hyperparams/prior_prec_out_layer.bias","hyperparams/prior_prec_out_layer.weight","params/layer1.bias","params/layer1.weight","params/out_layer.bias","params/out_layer.weight","prior_prec_opt","test/loglik","test/loglik_bayes","test/loglik_bayes_mc","test/loglik_bayes_mc_lse","test/loglik_bayes_mean","test/mse","train/loss","train/lr","train/marglik","train/nll","train/perf","valid/nll"
"wine-quality-red-marglik-7438","finished","-","","marglik, wine-quality-red","2024-11-12T15:52:14.000Z","125","","gelu","full","128","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.001","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.010898971930146216","0.022631671279668808","0.00040416288538835943","0.007735204882919788","76.08317801109935","32.4267889495528","235.020750998182","88.66222805126525","","-3.5303370649315964","-3.5982692901237736","-3.966608616479181","-3.625187219606578","-3.5920231224425927","73.42189879484235","4.874380710646174","0.0001","5.688344558784945","4.6958626504333765","778.3034006122173",""
"wine-quality-red-map-d0cb","finished","-","","map, wine-quality-red","2024-11-12T15:38:48.000Z","800","","gelu","full","128","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.001","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.0030345101933273166","0.0021229223668507383","0.01293140538495056","0.010773496437407208","100","-0.8714063085226971","-0.8720289467455982","-0.8709698239864262","-0.8710782879699804","-0.8699877623176365","0.5626303730605783","1.2277827981135263","0.0001","","1.1436047098259663","0.6070908486774332","1.1835633153872218"
"wine-quality-red-marglik-7905","finished","-","","marglik, wine-quality-red","2024-11-12T15:36:35.000Z","127","","gelu","full","128","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.001","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.022625192999839783","0.022584550082683563","0.0025252101477235556","0.004328278359025717","38.66951944930743","38.5434406206026","207.04881377755407","218.72666769811647","","-12319145874.578506","-64.17720595886203","-59.84481842880446","-6937623826.874592","-61.61843686347198","2463829089666411500","144.9600138780044","0.0001","148.84057561501413","144.7453228693711","1.5679419351153174",""
"wine-quality-red-map-ac8c","finished","-","","map, wine-quality-red","2024-11-12T15:22:08.000Z","861","","gelu","full","128","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.001","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.006575784044503502","0.0018166437500580493","0.18345844782775692","0.01132674289901672","100","-0.9310371457885912","-0.9312226330472008","-0.9317007375843626","-0.931426430622318","-0.930897472502156","0.5738706082806471","1.2844686825661935","0.0001","","1.1862196189511915","0.6235983063378607","1.2471666262670362"
"wine-quality-red-marglik-40f1","finished","-","","marglik, wine-quality-red","2024-11-12T15:21:05.000Z","56","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.0001","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.03373335674405098","1.1435731649398804","32.46569061279297","0.08659859746694565","25.981065092060295","0.6730326961893407","0.03429148636880605","9.620126571766887","","-1.1632904914118627","-0.92930646726508","-1.6015316359291625","-0.948312856748046","-0.9690051431140232","0.5897054710796227","0.5052259808628837","0.0001","1.693419483058028","0.3132191800671955","0.4301397161450061",""
"wine-quality-red-map-3c0e","finished","-","","map, wine-quality-red","2024-11-12T15:15:54.000Z","305","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.0001","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.0029320774377072103","0.002013907836288692","0.013292020411052666","0.010367878384761532","100","-0.878472291946759","-0.878481674544709","-0.8772360051544386","-0.8777437395935859","-0.8768344628011289","0.5672343507490327","1.2270856905639125","0.0001","","1.1465558746824411","0.6084610411542581","1.2546642152303054"
"wine-quality-red-marglik-f388","finished","-","","marglik, wine-quality-red","2024-11-12T15:14:51.000Z","58","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.0001","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.03903849795460701","0.04030368849635124","0.00705416314303875","0.04301769658923149","22.09182732126327","20.95137114045482","84.77313894999446","20.39823676003678","","-0.9987337822210244","-0.8947122286352867","-1.2445123904123812","-0.9013868866707366","-0.8910054267794336","0.6921154283879084","134.0825577974019","0.0001","135.3278217668229","133.87529645270232","0.988854976016318",""
"wine-quality-red-map-eaba","finished","-","","map, wine-quality-red","2024-11-12T15:09:20.000Z","325","","gelu","full","512","0.5","data/","wine-quality-red","1","cpu","true","natural","softplus","heteroscedastic","0.1","0.1","0.0001","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.01550285123663147","0.015651328984026377","0.4225414904714098","0.06187764469691233","10","-0.871653081201134","-0.8705020445062519","-0.912715388569792","-0.873286057423633","-0.8692090996062019","0.5520047717065153","1.122594397223024","0.0001","","1.0655539246785843","0.5326964169312312","1.1755496409607753"
"wine-quality-red-marglik-1d3c","finished","-","","marglik, wine-quality-red","2024-11-12T15:07:49.000Z","85","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.0001","0.0001","true","50","marglik","1439","5000","100","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","0.026226960122585297","0.0833059549331665","0.036939024925231934","0.07166490703821182","26.81727292224566","6.926656283310892","11.646591044366144","6.788207300302126","","-1.1090993655025605","-0.8387236461863974","-0.953895532248448","-0.8253163756511654","-0.8770281344812961","0.510019542824786","3.5931358801342994","0.0001","4.10319618657723","3.4534585707879946","43.58022107558582",""
"wine-quality-red-map-bd20","finished","-","","map, wine-quality-red","2024-11-12T14:59:05.000Z","519","","gelu","full","256","0.5","data/","wine-quality-red","1","cpu","true","meanvar","softplus","heteroscedastic","0.1","0.1","0.0001","0.0001","true","50","map","1439","5000","5001","50","4","702","Adam","1","0","6","Flipout","true","0","-3","0","50","5000","","","","","0.002835390168306515","0.0019991207735445605","0.012619595332974291","0.0102816132535948","100","-0.8805766169046578","-0.8806936039563029","-0.8793702284197706","-0.879934314770453","-0.8789683416388664","0.5707969621048925","1.2293265013502643","0.0001","","1.1495934801688017","0.6103129159278493","1.251667676120491"
